2023-09-18 10:06:18.647698,572
2023-09-18 10:18:52.410594,591
2023-09-18 10:30:10.614414,599
2023-09-18 10:39:10.102905,534
2023-09-18 10:48:18.798498,535
2023-09-18 10:57:29.456328,481
2023-09-18 11:08:07.029814,373
2023-09-18 11:17:43.860301,358
2023-09-18 11:26:44.631954,260
2023-09-18 11:36:01.628020,237
2023-09-18 11:45:04.977163,196
2023-09-18 11:54:00.146232,181
2023-09-18 12:05:41.277286,132
2023-09-18 12:20:13.821362,68
2023-09-18 12:37:55.675462,23
2023-09-18 12:52:06.199261,18
2023-09-18 13:03:08.644657,13
2023-09-18 13:15:44.524759,13
2023-09-18 13:25:52.053480,13
2023-09-18 13:35:06.660081,13
