2023-01-20 11:00:49.905228,1061
2023-01-20 11:13:13.511377,1165
2023-01-20 11:22:28.736432,1261
2023-01-20 11:27:41.239764,1252
2023-01-20 11:33:35.665866,1223
2023-01-20 11:38:51.825180,1232
2023-01-20 11:44:14.043026,1224
2023-01-20 11:49:28.361153,1162
2023-01-20 11:54:49.252185,1184
2023-01-20 11:59:59.270479,1139
2023-01-20 12:27:59.893453,911
2023-01-20 12:54:51.757657,598
2023-01-20 13:13:12.301675,376
2023-01-20 13:30:32.536363,94
2023-01-20 13:37:55.217572,70
2023-01-20 13:43:01.226839,59
2023-01-20 13:48:12.038524,45
